order,topic_en,topic_ua,lesson_code,status
1,Greetings,Привітання,a0-easyenglish-001,planned
2,Politeness,Ввічливість,a0-easyenglish-002,planned
3,Wild Animals,Дикі тварини,a0-easyenglish-003,planned
4,Domestic Animals,Свійські тварини,a0-easyenglish-004,planned
5,My Family,Моя родина,a0-easyenglish-005,planned
6,My Room,Моя кімната,a0-easyenglish-006,planned
7,Commands,Команди,a0-easyenglish-007,planned
8,Numbers,Числа,a0-easyenglish-008,planned
9,Math: Add and Subtract,Додавання і віднімання,a0-easyenglish-009,planned
10,Parts of Body,Частини тіла,a0-easyenglish-010,planned
11,Colours,Кольори,a0-easyenglish-011,planned
12,Toys,Іграшки,a0-easyenglish-012,planned
13,School Supplies,Шкільне приладдя,a0-easyenglish-013,planned
14,Fruits,Фрукти,a0-easyenglish-014,planned
15,Vegetables,Овочі,a0-easyenglish-015,planned
16,Transport,Транспорт,a0-easyenglish-016,planned
17,Seasons,Пори року,a0-easyenglish-017,planned
18,Nature Objects and Phenomena,Об’єкти та явища природи,a0-easyenglish-018,planned
19,Clothes,Одяг,a0-easyenglish-019,planned
20,Crockery,Посуд,a0-easyenglish-020,planned
21,Baby Animals,Малята тварин,a0-easyenglish-021,planned
22,Where Animals Live,Де живуть тварини,a0-easyenglish-022,planned
23,What Animals Can Do,Що можуть робити тварини,a0-easyenglish-023,planned
24,What You Can Do,Що вмієш робити ти,a0-easyenglish-024,planned
25,Food,Їжа,a0-easyenglish-025,planned
26,Drinks,Напої,a0-easyenglish-026,planned
27,Kitchen,Кухня,a0-easyenglish-027,planned
28,What You Can Do at Home,Що ти вмієш робити вдома,a0-easyenglish-028,planned
29,Kinds of Sports,Види спорту,a0-easyenglish-029,planned
30,Hobbies,Улюблені заняття,a0-easyenglish-030,planned
31,My Birthday,Мій день народження,a0-easyenglish-031,planned
32,Revision: Numbers and Colours,Повторення: числа та кольори,a0-easyenglish-032,planned
33,Months of the Year,Місяці року,a0-easyenglish-033,planned
34,Weather,Погода,a0-easyenglish-034,planned
35,Kinds of Weather,Види погоди,a0-easyenglish-035,planned
36,Birds,Птахи,a0-easyenglish-036,planned
37,Insects,Комахи,a0-easyenglish-037,planned
38,Flowers,Квіти,a0-easyenglish-038,planned
39,Trees,Дерева,a0-easyenglish-039,planned
40,Berries,Ягоди,a0-easyenglish-040,planned
41,My Pet,Мій улюбленець,a0-easyenglish-041,planned
42,Antonyms,Антоніми,a0-easyenglish-042,planned
43,Days of the Week,Дні тижня,a0-easyenglish-043,planned
44,Time,Час,a0-easyenglish-044,planned
45,Clock,Годинник,a0-easyenglish-045,planned
46,Dictionary,Словник,a0-easyenglish-046,planned
47,Transcription,Транскрипція,a0-easyenglish-047,planned
